Folder Name,File Size (bytes),Formatted Size
tagtor,5086535,4.85 MB
anon_ticket,5236074,4.99 MB
fuzzing-corpora,5244089,5.00 MB
sbws_nh,5482764,5.23 MB
sbws_gh,5695953,5.43 MB
onion-landing-page,5736798,5.47 MB
tpa-wiki,5773694,5.51 MB
sbws,5886051,5.61 MB
margot,5973947,5.70 MB
onionperf,5989442,5.71 MB
onion-launchpad,6083959,5.80 MB
weblate-glossary,6102212,5.82 MB
bridgedb-admin,6432324,6.13 MB
bridgedb,6523576,6.22 MB
outreach,6557160,6.25 MB
tpa-wiki-replica,6780862,6.47 MB
geoip-experiments,7216693,6.88 MB
stfe,7570858,7.22 MB
experiment_advertised_bw,8043465,7.67 MB
web,8989904,8.57 MB
stem,9182050,8.76 MB
metrics-lib,9655595,9.21 MB
torbutton,9723157,9.27 MB
library,9773935,9.32 MB
tor-browser-build-s131,11096847,10.58 MB
tor-browser-build,11654403,11.11 MB
tor-browser-build-2,11674317,11.13 MB
wiki-replica,12785904,12.19 MB
teavpn2,12920656,12.32 MB
arti-old,13885093,13.24 MB
arti,15010181,14.31 MB
onionoo,15053510,14.36 MB
rtdsupport,16189527,15.44 MB
support,16196739,15.45 MB
collector,17285244,16.48 MB
metrics-web,17881198,17.05 MB
website,18149513,17.31 MB
visualize-metrics-data,18396404,17.54 MB
arti-corpora,18688166,17.82 MB
descriptorParser,18872163,18.00 MB
research-portal,20879125,19.91 MB
mch2022-talk,21062516,20.09 MB
snowflake-graphs,21171118,20.19 MB
tpoblog,22612331,21.56 MB
tpo-web-blog,22969630,21.91 MB
torblog,22978829,21.91 MB
blog,23592842,22.50 MB
research,24385499,23.26 MB
styleguide,24680790,23.54 MB
gettor-web,24850801,23.70 MB
Roster,25079746,23.92 MB
sponsor-61-sims,25099890,23.94 MB
newsletter,25230989,24.06 MB
template,28367685,27.05 MB
translationpercent,28368476,27.05 MB
tor-android-service,31322670,29.87 MB
tbmanual,33560566,32.01 MB
manual,33841604,32.27 MB
l10n,34431407,32.84 MB
onion-tex,37557592,35.82 MB
community-tpo,40563535,38.68 MB
translation-attic,41473641,39.55 MB
lego,43355962,41.35 MB
initial_fenix,43754244,41.73 MB
fenix-old,50018704,47.70 MB
jruby_autopkgtest,52256418,49.84 MB
Tor_Onion_Proxy_Library,53291719,50.82 MB
dev,57686367,55.01 MB
trafficsliver-net,60636589,57.83 MB
donate,61159338,58.33 MB
tor-ideas-2020,65651423,62.61 MB
cccamp2023-talk,66763903,63.67 MB
translation,67245020,64.13 MB
tor-2019,68920154,65.73 MB
training,69130300,65.93 MB
tor-clone,69313026,66.10 MB
gettor,73819782,70.40 MB
community-new,75500650,72.00 MB
tpocommunity,76462876,72.92 MB
community,76551519,73.01 MB
python-website,77638543,74.04 MB
initial-android-components,79347824,75.67 MB
tor,90905353,86.69 MB
debian-tor,92616291,88.33 MB
android-components,94163179,89.80 MB
fenix,101704898,96.99 MB
vpn,131135305,125.06 MB
www-tpo,134529173,128.30 MB
tpo-web,138580212,132.16 MB
webwml,139271605,132.82 MB
www-2019,139272364,132.82 MB
tpo-archive,139274063,132.82 MB
tpo,143147694,136.52 MB
donate-static,144289790,137.61 MB
ttapd,206309754,196.75 MB
tor-android,255799447,243.95 MB
media,389290386,371.26 MB
firefox-android,448606537,427.82 MB
tor-browser-old,3187096297,2.97 GB
mullvad-browser,4139318104,3.86 GB
tor-browser,4246091389,3.95 GB
